starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:29 2023	1682202629	64	9062	9126	4549
Sat Apr 22 17:30:10 2023	1682202610	115	9035	9150	1783
Sat Apr 22 17:30:21 2023	1682202621	57	9118	9175	491
Sat Apr 22 17:30:02 2023	1682202602	62	9128	9190	5115
Sat Apr 22 17:30:14 2023	1682202614	64	9148	9212	1918
Sat Apr 22 17:30:22 2023	1682202622	58	9167	9225	614
Sat Apr 22 17:31:03 2023	1682202663	84	9142	9226	4361
Sat Apr 22 17:30:22 2023	1682202622	87	9143	9229	523
Sat Apr 22 17:31:08 2023	1682202668	86	9145	9231	5016
Sat Apr 22 17:30:38 2023	1682202638	72	9167	9239	1984
Sat Apr 22 17:30:25 2023	1682202625	158	9112	9270	4020
Sat Apr 22 17:30:22 2023	1682202622	57	9222	9279	464
Sat Apr 22 17:30:22 2023	1682202622	63	9220	9283	522
Sat Apr 22 17:31:13 2023	1682202673	59	9231	9291	4231
Sat Apr 22 17:30:20 2023	1682202620	58	9238	9296	611
Sat Apr 22 17:31:08 2023	1682202668	62	9245	9307	4882
Sat Apr 22 17:30:22 2023	1682202622	56	9262	9319	635
Sat Apr 22 17:30:09 2023	1682202609	66	9271	9336	2080
Sat Apr 22 17:30:44 2023	1682202644	138	9216	9354	2176
Sat Apr 22 17:30:32 2023	1682202632	56	9322	9378	4103
Sat Apr 22 17:30:03 2023	1682202603	62	9320	9382	3818
Sat Apr 22 17:30:21 2023	1682202621	75	9321	9396	609
Sat Apr 22 17:30:32 2023	1682202632	107	9294	9401	4348
Sat Apr 22 17:31:11 2023	1682202671	66	9347	9412	4377
Sat Apr 22 17:30:04 2023	1682202604	57	9360	9417	2734
Sat Apr 22 17:30:06 2023	1682202606	59	9365	9424	3078
Sat Apr 22 17:30:20 2023	1682202620	60	9373	9433	550
Sat Apr 22 17:30:01 2023	1682202601	98	9339	9437	6151
Sat Apr 22 17:30:22 2023	1682202622	65	9384	9449	728
Sat Apr 22 17:30:22 2023	1682202622	74	9400	9474	654
Sat Apr 22 17:30:21 2023	1682202621	62	9431	9493	587
Sat Apr 22 17:30:21 2023	1682202621	59	9442	9501	528
Sat Apr 22 17:30:03 2023	1682202603	63	9441	9504	4008
Sat Apr 22 17:30:32 2023	1682202632	76	9446	9522	4551
Sat Apr 22 17:30:37 2023	1682202637	68	9481	9549	2494
Sat Apr 22 17:30:21 2023	1682202621	60	9548	9608	789
Sat Apr 22 17:30:10 2023	1682202610	73	9565	9638	2045
Sat Apr 22 17:30:10 2023	1682202610	106	9538	9644	2620
Sat Apr 22 17:30:21 2023	1682202621	62	9606	9668	911
Sat Apr 22 17:30:26 2023	1682202626	57	9624	9680	4360
Sat Apr 22 17:30:18 2023	1682202618	65	9618	9683	2789
Sat Apr 22 17:30:25 2023	1682202625	83	9703	9786	3559
Sat Apr 22 17:30:21 2023	1682202621	61	9742	9803	1093
Sat Apr 22 17:30:37 2023	1682202637	83	9755	9838	2747
Sat Apr 22 17:30:01 2023	1682202601	94	9748	9842	6055
Sat Apr 22 17:30:01 2023	1682202601	76	9768	9844	6383
Sat Apr 22 17:30:03 2023	1682202603	64	9785	9849	3943
Sat Apr 22 17:31:04 2023	1682202664	62	9795	9857	5138
Sat Apr 22 17:30:21 2023	1682202621	60	9804	9864	1216
Sat Apr 22 17:30:57 2023	1682202657	143	9722	9865	5996
Sat Apr 22 17:31:05 2023	1682202665	66	9802	9868	6497
Sat Apr 22 17:30:58 2023	1682202658	83	9797	9880	5036
Sat Apr 22 17:30:02 2023	1682202602	62	9822	9884	4869
Sat Apr 22 17:30:02 2023	1682202602	65	9836	9901	4804
Sat Apr 22 17:30:03 2023	1682202603	67	9849	9916	4072
Sat Apr 22 17:30:03 2023	1682202603	63	9854	9917	3880
Sat Apr 22 17:30:21 2023	1682202621	56	9869	9925	1339
Sat Apr 22 17:30:23 2023	1682202623	56	9884	9940	561
Sat Apr 22 17:30:23 2023	1682202623	61	9880	9941	1068
Sat Apr 22 17:30:22 2023	1682202622	100	9842	9942	1227
Sat Apr 22 17:30:18 2023	1682202618	119	9823	9943	3061
Sat Apr 22 17:30:55 2023	1682202655	68	9877	9945	3971
Sat Apr 22 17:30:58 2023	1682202658	155	9836	9991	5478
Sat Apr 22 17:30:50 2023	1682202650	466	9529	9995	4385
Sat Apr 22 17:30:49 2023	1682202649	112	9899	10010	2955
Sat Apr 22 17:30:19 2023	1682202619	60	9978	10038	2051
Sat Apr 22 17:30:30 2023	1682202630	61	9991	10052	5207
Sat Apr 22 17:30:05 2023	1682202605	63	10013	10076	3832
Sat Apr 22 17:30:31 2023	1682202631	66	10011	10077	5220
Sat Apr 22 17:30:37 2023	1682202637	58	10026	10084	2922
Sat Apr 22 17:30:55 2023	1682202655	87	10003	10090	5145
Sat Apr 22 17:31:11 2023	1682202671	55	10049	10104	4732
Sat Apr 22 17:31:02 2023	1682202662	61	10066	10127	4163
Sat Apr 22 17:30:31 2023	1682202631	59	10073	10132	5486
Sat Apr 22 17:30:02 2023	1682202602	64	10092	10156	5390
Sat Apr 22 17:29:59 2023	1682202599	79	10088	10167	880
Sat Apr 22 17:30:21 2023	1682202621	60	10108	10168	1543
Sat Apr 22 17:30:54 2023	1682202654	296	9889	10185	4041
Sat Apr 22 17:30:34 2023	1682202634	64	10176	10240	3002
Sat Apr 22 17:30:03 2023	1682202603	60	10194	10254	4499
Sat Apr 22 17:31:08 2023	1682202668	72	10187	10258	5872
Sat Apr 22 17:30:19 2023	1682202619	60	10202	10263	992
Sat Apr 22 17:30:31 2023	1682202631	62	10207	10269	5495
Sat Apr 22 17:30:20 2023	1682202620	57	10221	10278	1761
Sat Apr 22 17:30:02 2023	1682202602	93	10189	10282	5295
Sat Apr 22 17:30:54 2023	1682202654	73	10218	10291	1422
Sat Apr 22 17:30:02 2023	1682202602	87	10222	10309	5587
Sat Apr 22 17:30:19 2023	1682202619	68	10266	10334	1121
Sat Apr 22 17:30:36 2023	1682202636	65	10280	10345	2987
Sat Apr 22 17:30:36 2023	1682202636	60	10286	10346	3361
Sat Apr 22 17:30:59 2023	1682202659	63	10297	10360	5128
Sat Apr 22 17:30:59 2023	1682202659	126	10310	10436	5109
Sat Apr 22 17:30:26 2023	1682202626	578	9869	10446	4114
Sat Apr 22 17:30:19 2023	1682202619	74	10390	10464	1633
Sat Apr 22 17:30:42 2023	1682202642	56	10419	10476	724
Sat Apr 22 17:30:47 2023	1682202647	107	10407	10513	606
Sat Apr 22 17:30:22 2023	1682202622	59	10475	10534	1319
Sat Apr 22 17:30:42 2023	1682202642	66	10484	10549	852
Sat Apr 22 17:30:42 2023	1682202642	63	10489	10551	918
Sat Apr 22 17:31:05 2023	1682202665	62	10494	10556	6830
